Reservation-id,Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Expected_checkin,Expected_checkout,Booking_date,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,Lead_Time,Total Nights,Checkin_Month,Checkin_Day_of_Week,Is_Weekend,Total_Guests
5385714,M,21,caucasian,College,50K -- 100K,South,Airport Hotels,2015-07-07,2015-07-11,2015-05-02,1,2,1,HB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,25,208,66,4,7,1,0,4
95106668,F,35,African American,Mid-School,25K --50K,South,Airport Hotels,2015-05-18,2015-05-19,2015-04-04,1,1,0,BB,No,No,Non-Refundable,Online,Yes,Check-Out,Yes,30,159,44,1,5,0,0,2
140349,F,36,caucasian,Mid-School,25K --50K,South,Resort,2015-07-07,2015-07-10,2015-05-26,2,2,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,10,188,42,3,7,1,0,4
7709904,F,51,African American,College,50K -- 100K,East,Resort,2015-07-07,2015-07-08,2015-06-22,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,134,15,1,7,1,0,3
89888538,F,29,caucasian,College,50K -- 100K,North,Airport Hotels,2015-07-07,2015-07-08,2015-04-29,2,1,0,HB,Yes,Yes,No Deposit,Online,Yes,Check-Out,Yes,20,218,69,1,7,1,0,3
37320420,F,68,caucasian,High-School,50K -- 100K,East,Airport Hotels,2015-07-09,2015-07-13,2015-03-28,1,2,1,BB,No,No,No Deposit,Direct,Yes,Check-Out,No,0,101,103,4,7,3,0,4
94772738,M,44,Asian American,College,50K -- 100K,West,Resort,2015-06-02,2015-06-05,2015-04-19,2,1,0,BB,No,No,Refundable,Direct,Yes,Check-Out,No,0,124,44,3,6,1,0,3
67740487,F,62,caucasian,High-School,<25K,South,Resort,2015-07-09,2015-07-11,2015-04-06,3,2,1,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,10,243,94,2,7,3,0,6
56263406,M,68,Latino,High-School,<25K,South,Airport Hotels,2015-07-09,2015-07-10,2015-03-19,1,1,1,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,25,238,112,1,7,3,0,3
93676283,M,69,caucasian,Grad,<25K,South,Resort,2015-07-09,2015-07-13,2015-04-14,2,2,0,HB,No,No,No Deposit,Online,Yes,Check-Out,No,0,150,86,4,7,3,0,4
73719356,F,66,African American,Grad,>100K,North,Airport Hotels,2015-07-09,2015-07-10,2015-05-21,1,2,0,HB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,5,111,49,1,7,3,0,3
62215136,F,32,Asian American,Grad,50K -- 100K,South,Resort,2015-07-09,2015-07-12,2015-03-21,2,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,20,240,110,3,7,3,0,4
53295296,M,59,Latino,High-School,25K --50K,South,Airport Hotels,2015-07-13,2015-07-14,2015-04-12,3,1,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,40,237,92,1,7,0,0,4
21196935,M,44,African American,College,50K -- 100K,West,City Hotel,2015-07-16,2015-07-17,2015-05-02,2,2,0,BB,No,No,No Deposit,Agent,Yes,Check-Out,No,0,228,75,1,7,3,0,4
6285306,F,48,Latino,High-School,50K -- 100K,East,City Hotel,2015-07-03,2015-07-04,2015-07-01,2,2,1,BB,Yes,Yes,No Deposit,Online,No,Check-Out,Yes,25,175,2,1,7,4,0,5
44843313,F,67,Latino,College,50K -- 100K,South,Airport Hotels,2015-07-03,2015-07-04,2015-07-03,2,1,0,BB,Yes,Yes,Refundable,Online,No,Check-Out,Yes,20,158,0,1,7,4,0,3
88607277,M,60,Latino,High-School,>100K,South,Airport Hotels,2015-07-04,2015-07-05,2015-06-21,2,1,1,BB,No,No,Non-Refundable,Online,Yes,Check-Out,Yes,10,143,13,1,7,5,1,4
45408396,F,26,Asian American,High-School,<25K,East,City Hotel,2015-07-04,2015-07-05,2015-06-25,1,1,0,BB,No,No,Refundable,Direct,Yes,Check-Out,Yes,5,225,9,1,7,5,1,2
60695251,M,52,caucasian,Grad,>100K,South,Airport Hotels,2015-07-04,2015-07-05,2015-06-30,3,1,1,BB,Yes,No,Non-Refundable,Online,No,Check-Out,Yes,25,201,4,1,7,5,1,5
18301716,M,24,caucasian,High-School,25K --50K,South,Resort,2015-07-05,2015-07-06,2015-06-19,2,2,0,BB,Yes,No,No Deposit,Direct,Yes,Check-Out,No,0,123,16,1,7,6,1,4
51494336,F,26,Asian American,Mid-School,25K --50K,North,City Hotel,2015-06-29,2015-07-01,2015-06-28,1,3,0,HB,Yes,Yes,Refundable,Online,No,Check-Out,Yes,15,179,1,2,6,0,0,4
37564720,F,26,African American,College,<25K,North,City Hotel,2015-07-05,2015-07-06,2015-06-26,1,1,0,BB,Yes,No,No Deposit,Direct,Yes,Check-Out,Yes,10,232,9,1,7,6,1,2
84070025,F,69,Asian American,Grad,>100K,South,Airport Hotels,2015-07-05,2015-07-06,2015-07-03,1,1,2,BB,No,No,Refundable,Agent,Yes,Check-Out,Yes,30,127,2,1,7,6,1,4
4845332,M,42,Latino,College,50K -- 100K,East,Resort,2015-06-16,2015-06-17,2015-04-07,3,1,0,BB,Yes,No,No Deposit,Direct,No,Check-Out,Yes,10,174,70,1,6,1,0,4
96798559,F,61,caucasian,College,50K -- 100K,East,Resort,2015-06-18,2015-06-20,2015-04-18,1,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,10,219,61,2,6,3,0,3
75344429,M,63,caucasian,College,50K -- 100K,West,Resort,2015-07-03,2015-07-04,2015-05-03,1,3,0,BB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,30,146,61,1,7,4,0,4
97707055,M,67,Asian American,College,<25K,West,Resort,2015-07-05,2015-07-06,2015-07-04,1,2,1,HB,No,No,No Deposit,Online,No,Check-Out,No,0,214,1,1,7,6,1,4
66082028,M,55,Latino,Grad,<25K,South,City Hotel,2015-07-05,2015-07-07,2015-06-22,4,1,1,BB,Yes,Yes,No Deposit,Direct,Yes,Check-Out,No,0,200,13,2,7,6,1,6
59992741,M,53,Asian American,Mid-School,>100K,South,Resort,2015-06-09,2015-06-12,2015-04-22,4,1,1,BB,No,No,No Deposit,Agent,No,Check-Out,No,0,186,48,3,6,1,0,6
61148490,M,46,caucasian,College,25K --50K,South,Airport Hotels,2015-05-26,2015-05-29,2015-04-11,2,2,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,30,212,45,3,5,1,0,5
8374938,F,40,Asian American,Mid-School,50K -- 100K,South,Airport Hotels,2015-07-07,2015-07-09,2015-07-07,1,3,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-Out,No,0,222,0,2,7,1,0,4
12091786,F,64,Latino,Mid-School,25K --50K,North,Resort,2015-07-07,2015-07-09,2015-04-28,4,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,121,70,2,7,1,0,5
44467998,F,28,caucasian,College,<25K,South,City Hotel,2015-07-12,2015-07-15,2015-04-07,1,2,1,BB,Yes,No,Non-Refundable,Online,No,Check-Out,Yes,5,227,96,3,7,6,1,4
54294175,M,40,African American,College,50K -- 100K,North,Airport Hotels,2015-05-19,2015-05-20,2014-05-17,1,1,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-Out,Yes,20,249,367,1,5,1,0,2
37285949,F,21,Asian American,Mid-School,>100K,South,City Hotel,2015-07-13,2015-07-16,2014-07-17,2,2,1,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,243,361,3,7,0,0,5
52449633,F,62,Latino,Grad,50K -- 100K,South,Resort,2015-06-09,2015-06-10,2015-03-21,2,1,0,HB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,10,231,80,1,6,1,0,3
43700894,M,58,Asian American,Mid-School,50K -- 100K,East,Resort,2015-07-13,2015-07-17,2015-04-09,2,1,0,HB,No,No,Refundable,Agent,Yes,Check-Out,Yes,25,169,95,4,7,0,0,3
19868896,F,34,Latino,College,<25K,South,City Hotel,2015-07-17,2015-07-18,2014-08-28,1,1,0,HB,Yes,No,Refundable,Online,No,Check-Out,Yes,25,188,323,1,7,4,0,2
64763276,M,31,caucasian,Grad,25K --50K,East,City Hotel,2015-07-17,2015-07-20,2015-05-12,2,2,0,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,10,100,66,3,7,4,0,4
50935350,M,37,Asian American,College,<25K,East,City Hotel,2015-04-15,2015-04-18,2015-01-29,2,1,1,BB,No,No,Non-Refundable,Online,No,Check-Out,Yes,40,170,76,3,4,2,0,4
59376256,F,51,Asian American,Mid-School,<25K,West,City Hotel,2015-07-04,2015-07-07,2015-06-25,2,1,1,BB,No,No,No Deposit,Direct,No,Check-Out,Yes,20,146,9,3,7,5,1,4
2454990,M,47,Latino,Grad,25K --50K,West,Resort,2015-07-04,2015-07-05,2015-06-26,1,1,0,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,10,121,8,1,7,5,1,2
66392370,M,56,Latino,Grad,<25K,North,City Hotel,2015-07-04,2015-07-05,2015-07-04,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,No,0,102,0,1,7,5,1,3
41050783,M,51,African American,Grad,<25K,South,Resort,2015-07-04,2015-07-06,2015-06-15,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,30,138,19,2,7,5,1,2
4295644,F,39,African American,Grad,<25K,South,Airport Hotels,2015-07-04,2015-07-07,2015-06-28,1,1,0,BB,No,No,Refundable,Agent,No,Check-Out,Yes,20,242,6,3,7,5,1,2
41547218,M,29,Asian American,College,50K -- 100K,West,Resort,2015-07-04,2015-07-06,2015-03-19,1,2,1,BB,Yes,Yes,Refundable,Direct,No,Check-Out,Yes,5,203,107,2,7,5,1,4
5293613,M,46,African American,High-School,25K --50K,North,Airport Hotels,2015-05-26,2015-05-27,2015-02-07,2,1,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-Out,No,0,235,108,1,5,1,0,3
16778927,F,66,African American,Mid-School,50K -- 100K,West,Airport Hotels,2015-06-29,2015-06-30,2015-04-19,2,1,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,15,205,71,1,6,0,0,4
44624415,M,49,African American,Mid-School,25K --50K,South,Resort,2015-05-13,2015-05-14,2015-03-12,1,2,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,5,215,62,1,5,2,0,4
1691869,F,38,Latino,Mid-School,>100K,West,Airport Hotels,2015-07-10,2015-07-12,2015-05-10,2,1,0,HB,No,No,Refundable,Direct,Yes,Check-Out,Yes,5,240,61,2,7,4,0,3
89215770,M,57,Latino,Grad,25K --50K,South,City Hotel,2015-07-10,2015-07-14,2015-04-04,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,30,226,97,4,7,4,0,4
20176010,M,46,caucasian,College,50K -- 100K,South,City Hotel,2015-07-10,2015-07-12,2015-04-01,1,1,2,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,10,164,100,2,7,4,0,4
11260215,F,23,Asian American,College,<25K,South,City Hotel,2015-07-07,2015-07-11,2015-04-04,2,2,0,BB,No,No,Refundable,Online,Yes,Check-Out,No,0,158,94,4,7,1,0,4
76318666,F,32,Asian American,High-School,25K --50K,North,Resort,2015-07-10,2015-07-12,2015-04-11,2,2,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-Out,Yes,15,204,90,2,7,4,0,4
56252511,M,28,Latino,High-School,<25K,South,Airport Hotels,2015-07-10,2015-07-11,2015-04-07,3,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,5,117,94,1,7,4,0,4
15611316,F,47,caucasian,College,25K --50K,West,Airport Hotels,2015-07-11,2015-07-14,2015-04-03,3,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,15,209,99,3,7,5,1,4
46967349,F,35,Latino,Grad,25K --50K,South,Airport Hotels,2015-05-20,2015-05-21,2015-03-09,2,2,0,HB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,5,229,72,1,5,2,0,4
70161171,F,48,caucasian,Mid-School,50K -- 100K,North,Resort,2015-04-22,2015-04-24,2015-01-12,2,2,0,BB,Yes,No,Refundable,Online,No,Check-Out,No,0,129,100,2,4,2,0,4
81928060,F,26,Latino,High-School,25K --50K,South,Resort,2015-07-11,2015-07-13,2015-03-20,4,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,25,189,113,2,7,5,1,5
20965226,F,30,caucasian,College,<25K,South,Resort,2015-07-11,2015-07-12,2015-04-01,2,1,2,BB,Yes,Yes,No Deposit,Agent,No,Check-Out,Yes,5,247,101,1,7,5,1,5
54997115,F,22,Asian American,College,25K --50K,North,Airport Hotels,2015-07-11,2015-07-12,2015-05-21,2,2,0,BB,Yes,No,No Deposit,Agent,Yes,Check-Out,No,0,214,51,1,7,5,1,4
47708934,M,60,caucasian,College,<25K,East,Resort,2015-07-12,2015-07-15,2015-06-16,1,2,0,BB,Yes,No,Refundable,Direct,Yes,Check-Out,Yes,10,228,26,3,7,6,1,3
31956359,F,23,African American,Grad,50K -- 100K,North,City Hotel,2015-05-12,2015-05-13,2015-02-01,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,238,100,1,5,1,0,3
85101864,M,55,Asian American,Mid-School,50K -- 100K,East,Airport Hotels,2015-07-12,2015-07-13,2015-03-26,2,3,0,BB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,5,144,108,1,7,6,1,5
76679894,M,58,African American,Mid-School,50K -- 100K,West,Airport Hotels,2015-07-14,2015-07-16,2015-04-15,2,1,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,10,216,90,2,7,1,0,3
99030960,M,31,caucasian,Mid-School,50K -- 100K,South,Resort,2015-07-14,2015-07-18,2015-04-17,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,5,240,88,4,7,1,0,2
22908824,F,33,Latino,College,<25K,East,City Hotel,2015-07-14,2015-07-16,2015-04-28,3,1,1,HB,No,No,Refundable,Direct,Yes,Check-Out,No,0,123,77,2,7,1,0,5
65748594,F,24,African American,College,50K -- 100K,West,Airport Hotels,2015-05-29,2015-05-31,2015-04-10,1,2,0,HB,No,No,No Deposit,Direct,No,Check-Out,Yes,5,234,49,2,5,4,0,3
70197598,M,63,caucasian,College,50K -- 100K,West,Resort,2015-07-04,2015-07-05,2015-05-30,3,1,0,BB,Yes,Yes,Non-Refundable,Online,Yes,Check-Out,Yes,5,120,35,1,7,5,1,4
75393812,F,58,African American,High-School,50K -- 100K,East,City Hotel,2015-05-13,2015-05-15,2015-03-03,2,3,0,BB,No,No,No Deposit,Online,Yes,Check-Out,No,0,158,71,2,5,2,0,5
35573319,F,26,Latino,High-School,50K -- 100K,West,Resort,2015-06-16,2015-06-18,2015-05-16,2,1,1,BB,No,No,No Deposit,Agent,Yes,Check-Out,No,0,168,31,2,6,1,0,4
15775355,M,20,Asian American,High-School,<25K,East,City Hotel,2015-07-05,2015-07-07,2015-06-05,3,1,1,FB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,130,30,2,7,6,1,5
20372189,F,44,Asian American,Grad,25K --50K,South,City Hotel,2015-07-05,2015-07-08,2015-06-30,1,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,5,203,5,3,7,6,1,2
75668801,F,64,caucasian,High-School,25K --50K,South,Airport Hotels,2015-07-06,2015-07-07,2015-07-06,1,1,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,15,165,0,1,7,0,0,3
85923736,F,29,African American,College,<25K,South,Resort,2015-07-06,2015-07-07,2015-03-29,2,2,0,BB,Yes,No,No Deposit,Agent,Yes,Check-Out,Yes,20,186,99,1,7,0,0,4
91219,M,35,Latino,High-School,50K -- 100K,North,Resort,2015-07-06,2015-07-08,2015-03-30,4,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,10,130,98,2,7,0,0,5
45482058,M,53,Latino,Grad,25K --50K,South,City Hotel,2015-07-06,2015-07-08,2015-06-29,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,118,7,2,7,0,0,2
91798772,M,38,Asian American,College,<25K,West,Airport Hotels,2015-07-01,2015-07-05,2015-06-30,3,1,1,BB,No,No,No Deposit,Online,No,Check-Out,No,0,123,1,4,7,2,0,5
56511978,M,47,African American,Grad,<25K,North,Resort,2015-07-06,2015-07-08,2015-06-29,1,2,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-Out,No,0,109,7,2,7,0,0,3
4371916,F,69,caucasian,Grad,>100K,South,City Hotel,2015-07-06,2015-07-08,2015-07-06,1,2,1,BB,No,No,No Deposit,Agent,No,Check-Out,Yes,10,162,0,2,7,0,0,4
8903936,F,22,caucasian,High-School,50K -- 100K,East,Airport Hotels,2015-07-06,2015-07-09,2015-06-30,4,1,0,BB,Yes,Yes,Refundable,Online,Yes,Check-Out,Yes,20,242,6,3,7,0,0,5
49894109,M,57,Latino,College,25K --50K,East,Airport Hotels,2015-07-01,2015-07-02,2015-06-27,1,1,0,BB,No,No,No Deposit,Direct,No,Check-Out,Yes,15,244,4,1,7,2,0,2
36479325,F,68,African American,Grad,>100K,South,Airport Hotels,2015-07-06,2015-07-08,2015-07-06,2,2,1,BB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,30,148,0,2,7,0,0,5
95145544,F,27,Latino,Mid-School,>100K,West,City Hotel,2015-07-07,2015-07-08,2015-05-25,2,2,1,HB,Yes,Yes,Refundable,Agent,No,Check-Out,No,0,176,43,1,7,1,0,5
78688371,F,24,caucasian,College,<25K,South,Airport Hotels,2015-07-07,2015-07-09,2015-04-20,1,1,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,20,103,78,2,7,1,0,2
50136772,F,61,African American,Grad,25K --50K,West,City Hotel,2015-07-09,2015-07-13,2015-04-07,4,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,20,122,93,4,7,3,0,5
8142106,M,36,Asian American,Mid-School,25K --50K,West,City Hotel,2015-07-10,2015-07-11,2015-03-24,3,2,1,BB,No,No,Non-Refundable,Online,Yes,Check-Out,Yes,20,133,108,1,7,4,0,6
12737635,F,38,caucasian,Mid-School,25K --50K,South,City Hotel,2015-07-10,2015-07-11,2015-06-11,4,1,1,BB,No,No,Refundable,Online,Yes,Check-Out,No,0,158,29,1,7,4,0,6
70828688,M,70,Asian American,College,50K -- 100K,East,City Hotel,2015-07-10,2015-07-11,2015-05-08,2,1,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,40,227,63,1,7,4,0,3
45133192,M,38,African American,College,50K -- 100K,North,City Hotel,2015-07-11,2015-07-12,2015-06-03,1,2,0,BB,Yes,No,No Deposit,Online,No,Check-Out,Yes,25,114,38,1,7,5,1,3
60357244,M,58,African American,Grad,25K --50K,South,Airport Hotels,2015-07-11,2015-07-12,2015-04-13,1,1,0,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,25,223,89,1,7,5,1,2
20431537,M,26,Latino,College,<25K,South,Airport Hotels,2015-06-17,2015-06-18,2015-05-15,2,2,0,BB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,30,201,33,1,6,2,0,4
51131903,M,29,Asian American,High-School,25K --50K,West,Airport Hotels,2015-07-12,2015-07-13,2015-06-14,2,1,2,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,115,28,1,7,6,1,5
89674363,F,25,African American,College,>100K,North,City Hotel,2015-03-30,2015-03-31,2014-12-20,2,2,0,HB,No,No,Refundable,Direct,Yes,Check-Out,No,0,176,100,1,3,0,0,4
23053437,F,54,Asian American,College,50K -- 100K,North,Resort,2015-07-12,2015-07-13,2015-06-16,1,1,1,BB,Yes,No,Refundable,Direct,No,Check-Out,Yes,40,160,26,1,7,6,1,3
6558091,M,18,caucasian,Grad,50K -- 100K,South,Resort,2015-07-14,2015-07-16,2015-07-08,3,1,1,BB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,10,150,6,2,7,1,0,5
10383391,M,54,Asian American,College,50K -- 100K,North,Resort,2015-07-15,2015-07-17,2015-04-26,1,2,1,BB,Yes,No,Refundable,Online,No,Check-Out,Yes,5,157,80,2,7,2,0,4
79042826,M,33,Asian American,High-School,25K --50K,West,Airport Hotels,2015-07-15,2015-07-16,2015-04-13,2,3,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,10,188,93,1,7,2,0,5
24397112,F,35,African American,College,50K -- 100K,South,Resort,2015-07-16,2015-07-17,2015-03-29,1,1,1,BB,No,No,No Deposit,Online,Yes,Check-Out,No,0,186,109,1,7,3,0,3
57110940,M,58,African American,Mid-School,<25K,South,Resort,2015-07-19,2015-07-20,2015-04-15,2,2,0,HB,Yes,Yes,No Deposit,Agent,Yes,Check-Out,No,0,172,95,1,7,6,1,4
58986042,M,24,Asian American,College,25K --50K,East,City Hotel,2015-07-19,2015-07-22,2015-05-04,2,2,0,HB,No,No,Refundable,Online,Yes,Check-Out,Yes,20,244,76,3,7,6,1,4
28336528,F,40,Asian American,Mid-School,>100K,North,City Hotel,2015-07-11,2015-07-12,2015-03-19,1,1,1,BB,No,No,No Deposit,Online,No,Check-Out,Yes,20,241,114,1,7,5,1,3
52268748,F,29,Latino,Mid-School,>100K,North,Resort,2015-07-10,2015-07-12,2015-03-23,2,2,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,10,193,109,2,7,4,0,5
30401013,M,37,Asian American,Grad,50K -- 100K,East,Airport Hotels,2015-07-10,2015-07-11,2015-05-21,1,2,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,151,50,1,7,4,0,3
45608680,M,34,caucasian,College,50K -- 100K,West,Airport Hotels,2015-07-10,2015-07-13,2015-04-10,3,2,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,10,127,91,3,7,4,0,5
